authors,Run,BioSample,BioProject,sequence_public,collection_year,geo_loc_name_country,lat_lon,latitude,longitude,env_broad_scale,env_local_scale,env_medium,host_common_name,host_latin_name,animal_gut,dna_extraction_method,dna_extraction_amount,library_selection,platform,sequencing_platform,instrument,library_layout,datastore_filetype,sample_name,doi_publication
Bernaschina_Leoni,SRR21875668,SAMN31253266,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Cover crop,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,P1SE20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875669,SAMN31253265,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Herbicide weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,H8SE20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875670,SAMN31253264,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Herbicide weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,H7SE20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875671,SAMN31253263,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Herbicide weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,H4SE20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875672,SAMN31253262,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Herbicide weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,H1SE20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875673,SAMN31253261,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Manual weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,C8SE20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875674,SAMN31253281,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Cover crop,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,P8SC20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875675,SAMN31253280,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Cover crop,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,P7SC20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875676,SAMN31253279,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Cover crop,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,P4SC20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875677,SAMN31253278,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Cover crop,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,P1SC20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875678,SAMN31253260,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Manual weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,C7SE20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875679,SAMN31253277,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Herbicide weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,H8SC20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875680,SAMN31253276,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Herbicide weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,H7SC20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875681,SAMN31253275,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Herbicide weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,H4SC20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875682,SAMN31253274,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Herbicide weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,H1SC20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875683,SAMN31253273,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Manual weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,C8SC20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875684,SAMN31253272,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Manual weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,C7SC20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875685,SAMN31253271,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Manual weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,C4SC20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875686,SAMN31253270,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Manual weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,C1SC20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875687,SAMN31253269,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Cover crop,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,P8SE20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875688,SAMN31253268,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Cover crop,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,P7SE20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875689,SAMN31253259,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Manual weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,C4SE20,No publication associated to this sequence by the release date of the Datathon's report
Bernaschina_Leoni,SRR21875690,SAMN31253258,PRJNA889760,yes,2020,Uruguay,"-34.671009,-56.341292",-34.671009,-56.341292,Mineral,Soil,Manual weeding,NA,NA,No,FastDNA SPIN kit for soil,500 mg of soil,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,C1SE20,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,CC.I.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,CC.II.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,CC.III.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,CC.III.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,CC.II.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,CC.I.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,CC.IV.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,CC.IV.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,CC.V.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,CC.VI.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,CC.VI.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,CC.V.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRP.I.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRP.II.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRP.III.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRP.III.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRP.II.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRP.I.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRP.IV.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRP.IV.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRP.V.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRP.VI.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRP.V.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRS.I.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRS.II.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRS.III.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRS.III.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRS.II.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRS.I.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRS.IV.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRS.IV.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRS.V.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Mineral,Soil,Bulk Soil,NA,NA,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRS.VI.BS,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRS.VI.R,No publication associated to this sequence by the release date of the Datathon's report
Cerecetto_Leoni_Babin,Not made public due to unpublished article,Not made public due to unpublished article,PRJNA899016,no,2018,Uruguay,"-33.15544,-54.29281",-33.15544,-54.29281,Organism,Organism,Rhizosphere,Oat,Avena sativa L.,NA,FastDNA SPIN kit for soil,0.5 g,PCR,Illumina,Illumina MiSeq,Illumina MiSeq,Paired,Fastq,LRS.V.R,No publication associated to this sequence by the release date of the Datathon's report
